ra	dec	g	r	i	z	y
146.22385077	34.71866183	22.71	21.91	21.08	20.86	20.69
146.18161328	34.74460092	19.65	19.26	19.10	19.11	18.99
146.18453652	34.74753004	23.02	21.54	20.05	19.37	19.00
146.20623675	34.74933893	16.22	15.74	15.59	15.46	15.42
146.21071013	34.74221968	22.47	22.21	21.91	21.81	24.20
146.24540609	34.74947878	23.39	22.80	22.15	22.08	21.26
146.27216461	34.74245717	22.32	21.66	21.22	20.89	20.86
146.22689387	34.68733687	21.04	19.74	18.65	18.20	17.89
146.23397458	34.68873376	21.43	20.21	18.87	18.29	17.91
146.24708734	34.68780959	17.87	17.08	16.83	16.71	16.69
146.29339776	34.68823125	17.76	16.55	15.74	15.35	15.15
146.10843357	34.69616497	22.84	21.97	21.62	21.21	21.11
146.13030558	34.69148382	22.67	22.29	21.99	21.51	21.65
146.24478299	34.76490351	26.33	22.08	21.47	20.99	21.14
146.27627689	34.76258256	22.11	20.91	19.82	19.42	19.23
146.13161379	34.76851262	23.05	21.86	20.83	20.46	20.07
146.15063660	34.77035820	20.85	20.71	20.45	20.55	20.53
146.20483370	34.76728897	19.86	18.67	18.10	17.88	17.71
146.17233061	34.69506926	17.29	16.32	16.01	15.86	15.73
146.17922870	34.69731366	21.11	20.50	20.31	20.11	20.18
146.22969080	34.69777195	19.88	19.19	19.01	18.97	18.79
146.24818628	34.69738292	22.90	22.12	21.94	21.79	22.75
146.25893112	34.69533964	22.10	21.85	21.83	21.75	21.65
146.26569195	34.69147536	21.90	21.81	21.64	21.34	21.05
146.24993679	34.76678043	21.56	20.50	20.02	19.80	19.66
146.14532861	34.78212110	19.28	19.02	18.79	18.71	18.65
146.17032947	34.77463068	18.70	17.50	16.87	16.58	16.34
146.19222143	34.77983600	21.05	19.75	18.82	18.41	18.10
146.20598591	34.77509278	19.02	17.83	16.80	16.30	16.02
146.20693061	34.78146247	21.77	21.81	21.50	21.29	21.41
